状态	then	else	if	do	while	begin	end	;	i	:=	not	(	)	rop	and	or	+	*	ci	#	S	if_else	ifB	B	WB	W	L	A	LS	E	BA	BO
39	 	r24	 	 	 	 	r24	r24	 	 	 	 	r24	 	 	 	r24	r24	 	r24	 	 	 	 	 	 	 	 	 	 	 	 
40	 	r25	 	 	 	 	r25	r25	 	 	 	 	r25	 	 	 	r25	r25	 	r25	 	 	 	 	 	 	 	 	 	 	 	 
41	 	 	r2	 	r2	r2	 	 	r2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
42	r16	 	 	r16	 	 	 	 	 	 	 	 	r16	 	r16	r16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
43	r17	 	 	r17	 	 	 	 	 	 	 	 	r17	 	r17	r17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
44	 	 	 	 	 	 	 	 	s39	 	 	s38	 	 	 	 	 	 	s40	 	 	 	 	 	 	 	 	 	 	47	 	 
45	 	 	 	 	 	 	 	 	s39	 	 	s38	 	 	 	 	 	 	s40	 	 	 	 	 	 	 	 	 	 	48	 	 
46	 	 	 	 	 	 	 	 	 	 	 	 	s49	 	 	 	s44	s45	 	 	 	 	 	 	 	 	 	 	 	 	 	 
47	 	r21	 	 	 	 	r21	r21	 	 	 	 	r21	 	 	 	r21	s45	 	r21	 	 	 	 	 	 	 	 	 	 	 	 
48	 	r22	 	 	 	 	r22	r22	 	 	 	 	r22	 	 	 	r22	r22	 	r22	 	 	 	 	 	 	 	 	 	 	 	 
49	 	r23	 	 	 	 	r23	r23	 	 	 	 	r23	 	 	 	r23	r23	 	r23	 	 	 	 	 	 	 	 	 	 	 	 
